год,2010,,,,,,
x1 номинальная начисленная среднемесячная з.п. (тыс.руб.),,x1,x2,x3,x4,x5,x6
x2 валовый региональный продукт(млрд.руб),Брестская,1088.1,18129.7,16017.6,,9029.3,8405.5
x3 объем промышленного производства (млрд. руб.),Витебская,1090,15144.6,29351.3,,5700.7,7757.6
x4 ввод в эксплуатацию площади жилых домов (тыс. кв.м.),Гомельская,1152.3,19445.4,35446,,8175.2,7672
x5 инвестиции в основной капитал (млрд.руб.),Гродненская,1105.2,13681.9,16267.9,,5829,7139.8
,г.Минск,1537.2,40703.4,29766.6,,10869.6,18479.3
,Минская,1182.1,23496.5,24603.2,,10063.5,9027.5
,Могилёвская,1090,13526.2,15933.3,,5602.5,6383
,,тыс.руб.,млрд.руб.,млрд.руб.,,млрд.руб.,млрд.руб.
,,,,,,,
,индекты 2015 (2010 база),,,,,,
,,x1,x2,x3,x4,x5,x6
,Брестская,1.367,1.02,0.954,,0.757,0.974
,Витебская,1.376,1.076,0.945,,0.802,0.966
,Гомельская,1.367,1.052,0.941,,0.809,0.979
,Гродненская,1.384,1.118,0.938,,0.931,0.976
,г.Минск,1.491,1.076,0.868,,0.695,1.002
,Минская,1.457,1.224,1.005,,0.925,0.991
,Могилёвская,1.373,1.007,0.934,,0.814,0.986
,,,,,,,
,показатели на 2010 (в новые цены),,,,,,
,,x1,x2,x3,x4,x5,x6
,Брестская,108.81,1812.97,1601.76,,902.93,840.55
,Витебская,109,1514.46,2935.13,,570.07,775.76
,Гомельская,115.23,1944.54,3544.6,,817.52,767.2
,Гродненская,110.52,1368.19,1626.79,,582.9,713.98
,г.Минск,153.72,4070.34,2976.66,,1086.96,1847.93
,Минская,118.21,2349.65,2460.32,,1006.35,902.75
,Могилёвская,109,1352.62,1593.33,,560.25,638.3
,,руб.,млн.руб.,млн.руб.,,млн.руб.,млн.руб.
,,,,,,,
,показатели на 2015,,,,,,
,,x1,x2,x3,x4,x5,x6
,Брестская,148.74327,1849.2294,1528.07904,925.2,683.51801,818.6957
,Витебская,149.984,1629.55896,2773.69785,384.3,457.19614,749.38416
,Гомельская,157.51941,2045.65608,3335.4686,654.7,661.37368,751.0888
,Гродненская,152.95968,1529.63642,1525.92902,660.9,542.6799,696.84448
,г.Минск,229.19652,4379.68584,2583.74088,1322.2,755.4372,1851.62586
,Минская,172.23197,2875.9716,2472.6216,1445.1,930.87375,894.62525
,Могилёвская,149.657,1362.08834,1488.17022,325.5,456.0435,629.3638
,,руб.,млн.руб.,млн.руб.,тыс кв.м.,млн.руб.,млн.руб.
,численность населения,,,,,,
,,тыс. чел.,,,,,
,Брестская,1386.4,,,,,
,Витебская,1193.5,,,,,
,Гомельская,1422.9,,,,,
,Гродненская,1050.1,,,,,
,г.Минск,1959.8,,,,,
,Минская,1417.4,,,,,
,Могилёвская,1067.3,,,,,
,,,,,,,
,показатели на душу,,,,,,
,,x1,x2,x3,x4,x5,x6
,Брестская,148.74327,1.33383540103866,1.10219203693018,0.66733987305251,0.493016452683208,0.590519114252741
,Витебская,149.984,1.36536150816925,2.32400322580645,0.321994134897361,0.383071755341433,0.627887859237537
,Гомельская,157.51941,1.43766679316888,2.34413423290463,0.460116663152716,0.464806859231148,0.527857755288495
,Гродненская,152.95968,1.45665786115608,1.45312734025331,0.629368631558899,0.51678878202076,0.663598209694315
,г.Минск,229.19652,2.23476162873763,1.31836967037453,0.67466067966119,0.385466476171038,0.944803479946933
,Минская,172.23197,2.02904726964865,1.74447692958939,1.01954282489064,0.656747389586567,0.631173451389869
,Могилёвская,149.657,1.2762000749555,1.39433169680502,0.304975170992223,0.427287079546519,0.5896784409257
,,руб./чел.,тыс.руб./чел,тыс.руб./чел,кв.м./чел.,тыс.руб./чел,тыс.руб./чел
